###Multiplexed PAPI_reset()
#number of events	min cycles	max cycles	mean cycles	std deviation	sw min cycles	sw max cycles	sw avg cycles	sw std dev
                   1	       456	     24411	472.874385	 53.617785	      1569	     28944	1621.596378	140.823007
                   2	       894	     12861	917.354850	 49.532914	      1578	     63372	1630.342923	436.847586
                   3	      1323	     25482	1345.609026	 74.966531	      1593	     63372	1645.646811	461.371824
                   4	      1758	     25692	1781.822208	 93.083041	      1611	     60996	1662.671022	450.949403
                   5	      2169	     30636	2203.270218	 98.619920	      1614	     63816	1679.084283	453.694719
                   6	      2448	     43236	2549.043912	293.596014	      1626	     60585	1685.134587	458.843253
                   7	      2829	     41109	2915.677272	282.633284	      1626	     64497	1690.260801	480.121726
                   8	      3177	     33813	3266.671581	309.457130	      1635	     63492	1700.551125	470.938769
                   9	      3534	     41154	3638.743056	339.086272	      1650	     65817	1708.931664	473.043040
