###Multiplexed PAPI_read_ts()
#number of events	min cycles	max cycles	mean cycles	std deviation	sw min cycles	sw max cycles	sw avg cycles	sw std dev
                   1	       603	     24642	629.972097	 84.027392	      1194	     26433	1235.658930	189.871578
                   2	      1170	     25377	1212.979707	 68.404214	      1197	     64071	1240.902645	389.143375
                   3	      1716	     25845	1773.404589	 85.622682	      1206	     61185	1247.791083	389.552435
                   4	      2259	     29238	2334.702084	155.317193	      1212	     72570	1264.663206	405.788025
                   5	      2805	     31725	2896.009170	105.252461	      1215	     60585	1270.931502	392.785423
                   6	      3327	     42498	3640.569228	352.107841	      1227	     64704	1277.460159	405.562186
                   7	      3831	     35520	4174.578162	338.973167	      1230	     60492	1283.450121	414.723993
                   8	      4269	     43590	4724.870538	386.470403	      1233	     59214	1285.679253	407.865139
                   9	      4701	     44268	5241.524514	400.840495	      1236	     85152	1293.725811	490.673098
