###Multiplexed PAPI_accum()
#number of events	min cycles	max cycles	mean cycles	std deviation	sw min cycles	sw max cycles	sw avg cycles	sw std dev
                   1	      1062	     25329	1095.276651	 85.893450	      2787	     26976	2847.148068	189.962265
                   2	      2085	     26619	2160.377049	172.158885	      2799	     64056	2863.283148	575.654580
                   3	      3030	     27105	3075.383814	114.423955	      2808	     62682	2885.252964	601.632211
                   4	      4038	     29166	4155.591720	125.422665	      2844	     63117	2926.376541	608.081907
                   5	      5070	     29901	5156.145147	133.791173	      2862	     66282	2956.559310	608.889286
                   6	      5727	     32457	6087.809418	413.598794	      2862	     65541	2945.228712	621.546769
                   7	      6600	     46512	6964.844430	455.089787	      2892	     63249	2980.824279	612.887482
                   8	      7551	     40530	8051.005383	503.021962	      2904	     74379	2995.316967	618.269055
                   9	      8418	     47085	8926.445046	514.279821	      2922	     96048	3013.998567	635.286352
