###Multiplexed PAPI_read()
#number of events	min cycles	max cycles	mean cycles	std deviation	sw min cycles	sw max cycles	sw avg cycles	sw std dev
                   1	      4917	    177684	5079.987423	490.290239	      9531	     67347	9668.675730	423.616972
                   2	      8277	     76788	8412.561837	256.554819	      9213	   1880820	24587.997414	22023.091935
                   3	     12294	    140736	12459.586092	306.856964	      9237	   2182833	29567.526129	26715.587271
                   4	     16446	    856935	16636.130463	918.239280	      9324	   2012982	32356.958014	25467.644244
                   5	     20691	   2325024	20888.118459	2333.289612	      9318	   2319561	33705.158661	28161.117890
                   6	     24429	   3242673	24813.890103	3293.995150	      9381	   2413812	34748.487597	28956.188269
                   7	     28095	    418149	28533.450852	898.508424	      9414	   2199972	35734.434231	28775.661191
                   8	     31749	    167565	32234.627412	796.507526	      9459	   2476179	36268.284294	29699.826691
                   9	     35349	   1231938	35947.635018	1474.804914	      9465	   2465628	37491.466690	25810.281628
