LOC, RR retired_uops, loads_retired_uops, LLC_misses, LLC_references, local_accesses, remote_accesses, inter_socket1, inter_socket2, context_switches, number_of_threads, result
1, 0, 3727557538, 441384982, 4, 70, 33, 386, 47, 74, 0, 2, 0
1, 0, 1598947948, 197516186, 226, 59075862, 102, 37, 494, 820, 0, 3, 0
1, 0, 1444499883, 173263543, 433, 96486367, 411, 102, 210, 629, 0, 4, 0
1, 0, 1862485141, 236782764, 705, 125338801, 595, 146, 128, 461, 0, 5, 0
1, 0, 2030035276, 247624485, 928, 174813821, 489, 118, 82, 597, 0, 6, 0
1, 0, 2487179551, 309786298, 1208, 180192188, 1494, 1009, 552, 696, 0, 7, 0
1, 0, 2493683284, 316716704, 1235, 212779436, 1656, 1309, 438, 259901, 0, 8, 0
1, 0, 2619187803, 337375906, 1408, 227914941, 1740, 132426, 386, 1554, 0, 9, 0
1, 0, 2721957720, 355751082, 1554, 250636750, 716, 2989, 754, 2474, 0, 10, 0
1, 0, 2943846317, 375711076, 1455, 259374298, 842, 1051, 1005, 1111383, 0, 11, 0
1, 0, 3036035704, 396716374, 2345, 279519203, 2111, 1220, 1378, 1674, 0, 12, 0
1, 0, 2949695796, 384094398, 2347, 278932879, 1059, 28846, 1761, 2907, 0, 13, 0
1, 0, 1882600871, 239503960, 21542418, 178782924, 1333398, 342874, 840741, 4238591, 0, 14, 0
1, 0, 1613029057, 204714369, 33386294, 154229569, 1519476, 909944, 1360258, 5902958, 0, 15, 0
1, 0, 1486219044, 183530764, 41819505, 139538927, 1121504, 1758357, 1449066, 6266636, 0, 16, 0
1, 0, 1268338451, 160525811, 48140857, 122552308, 1641002, 1700681, 1769133, 7721425, 0, 17, 0
1, 0, 1268182895, 155895600, 51239717, 129261562, 1763843, 1649944, 1922078, 8439534, 0, 18, 0
1, 0, 1242684657, 153125202, 55065964, 125026187, 1710391, 1597138, 1976720, 8208915, 0, 19, 0
1, 0, 1245190750, 150293997, 55659911, 124641673, 1885857, 1435013, 2003185, 8108132, 0, 20, 0
1, 0, 1197373222, 149093673, 56787005, 124920556, 1770795, 1373969, 2118713, 8229611, 0, 21, 0
1, 0, 1206506956, 149140894, 53753356, 123048162, 1623892, 1561411, 2010736, 8317753, 0, 22, 0
1, 0, 1241149231, 152144005, 56379028, 124648656, 1564843, 1354980, 2078623, 8181119, 0, 23, 0
0, 1, 3742253036, 432129224, 15, 164, 53, 321, 94, 82, 0, 2, 0
0, 1, 862747674, 108226274, 20098820, 23093537, 243014, 66386, 167023, 776330, 0, 3, 0
0, 1, 446249970, 54178769, 29197414, 31820503, 508568, 991211, 1661935, 2941250, 0, 4, 0
0, 1, 520725274, 66616422, 36459268, 36669332, 688976, 1775995, 1891583, 3971040, 0, 5, 0
0, 1, 613374201, 70308516, 38564313, 43597384, 767326, 1433825, 1600490, 3677331, 0, 6, 0
0, 1, 634927854, 78606935, 42622052, 51838776, 1117340, 1875919, 2149497, 5167537, 0, 7, 0
0, 1, 646839418, 78973251, 45944151, 56714180, 998566, 2013359, 2276735, 5593455, 0, 8, 0
0, 1, 667180570, 84783315, 48860103, 58532258, 888421, 2630146, 2650938, 5824004, 0, 9, 0
0, 1, 781522462, 91117161, 55931808, 65287389, 1311815, 2129252, 2451628, 5523069, 0, 10, 0
0, 1, 755252900, 90844075, 54641292, 67487562, 1116183, 2665753, 2942104, 5842990, 0, 11, 0
0, 1, 819725927, 97009734, 59987570, 72869462, 1302507, 2639967, 2779981, 6038269, 0, 12, 0
0, 1, 740738669, 94618918, 59485584, 74616115, 972786, 2948777, 3360362, 6287506, 0, 13, 0
0, 1, 826745734, 98308944, 64063629, 80899674, 1206795, 2678731, 3295916, 6115514, 0, 14, 0
0, 1, 851494006, 103177895, 63858796, 78758425, 485903, 2961953, 3093828, 5924519, 0, 15, 0
0, 1, 890714687, 106396388, 66458041, 83998795, 1328456, 2789181, 3663997, 6371773, 0, 16, 0
0, 1, 813448422, 100358781, 65089913, 81586445, 989198, 2962165, 3655861, 6804743, 0, 17, 0
0, 1, 817373494, 104147949, 66968999, 84505432, 1117854, 2903749, 3524002, 6706018, 0, 18, 0
0, 1, 850061543, 105647175, 68985149, 85650020, 1122465, 2813750, 3790509, 6773505, 0, 19, 0
0, 1, 813332398, 103243988, 69932689, 87249169, 1043287, 2846918, 3826224, 6850582, 0, 20, 0
0, 1, 805440293, 101797102, 69193348, 87004709, 930002, 2675517, 3616688, 6757893, 0, 21, 0
0, 1, 859403625, 105466780, 70225806, 89544441, 1053717, 2664570, 3592814, 6765177, 0, 22, 0
0, 1, 825579514, 101701208, 68848219, 87212515, 963540, 2708829, 3686099, 6573893, 0, 23, 0
