LOC, RR retired_uops, loads_retired_uops, LLC_misses, LLC_references, local_accesses, remote_accesses, inter_socket1, inter_socket2, context_switches, number_of_threads, result
1, 0, 4220169251, 1733912699, 16, 20791241, 16, 0, 137698, 24, 0, 2, 1
1, 0, 9344151615, 3968197740, 424, 69346246, 102, 20, 246, 738, 0, 3, 1
1, 0, 14631573276, 5820583911, 595, 99584156, 290129, 144780, 617, 333, 0, 4, 1
1, 0, 18667591586, 8169117496, 896, 125772290, 1746, 353, 648, 1007, 0, 5, 1
1, 0, 23522666411, 10531387602, 887, 150197513, 123825, 120630, 711, 619, 0, 6, 1
1, 0, 28187628813, 12595950088, 973, 174243875, 2399, 1011, 278, 301, 0, 7, 1
1, 0, 34943989488, 14877997480, 1328, 199531467, 369362, 610458, 2367, 2665, 0, 8, 1
1, 0, 38632427956, 16447422640, 1293, 195878103, 1676, 1003, 414020, 559, 0, 9, 1
1, 0, 43001522437, 19035680463, 1772, 254363799, 2305, 137512, 757, 789, 0, 10, 1
1, 0, 49070596756, 21253983870, 1889, 289573528, 2221, 4467, 2887277, 2102, 0, 11, 1
1, 0, 50656775219, 23270504024, 2183, 353403100, 2902, 618, 4209, 1722, 0, 12, 1
1, 0, 58660812835, 25174364697, 2236, 406493924, 1192, 4182, 355678, 665229, 0, 13, 1
1, 0, 60940887624, 26985939777, 64795, 434664496, 1254, 152735, 31940, 9614, 0, 14, 1
1, 0, 64844209549, 29928317033, 64162, 485027293, 3848, 2457, 231005, 7628, 0, 15, 1
1, 0, 70474161560, 31341955902, 68648, 518828262, 3730, 1986, 35935, 7808, 0, 16, 1
1, 0, 76292017319, 34417673505, 68695, 528373182, 17703, 4001, 42899, 157950, 0, 17, 1
1, 0, 81522918643, 35531924631, 70240, 526272044, 3516, 3510, 39981, 2818, 0, 18, 1
1, 0, 86305108197, 38473778687, 67111, 578900686, 140999, 281788, 37881, 4025, 0, 19, 1
1, 0, 89262031862, 39859517908, 63665, 629245848, 6755, 6282, 37970, 7896, 0, 20, 1
1, 0, 97539980182, 43120198785, 57216, 606340581, 140805, 2564, 470689, 745447, 0, 21, 1
1, 0, 99812361065, 42060717214, 259759, 580297799, 209035, 147959, 192699, 164533, 0, 22, 1
1, 0, 105343526520, 47614071154, 65598, 706531989, 5046, 8432, 217612, 6856, 0, 23, 1
0, 1, 4495539718, 1813761805, 84, 35913202, 21, 70, 175738, 51, 0, 2, 1
0, 1, 9816621817, 4436625542, 378, 79379613, 612, 284, 608, 474, 0, 3, 1
0, 1, 14179663062, 6363923657, 62668, 134857608, 779, 231, 16416, 17069, 0, 4, 1
0, 1, 19240059466, 8308711891, 63315, 139101789, 96, 185836, 16937, 13139, 0, 5, 1
0, 1, 24227405363, 10653356025, 130925, 235116234, 347, 287, 41968, 29312, 0, 6, 1
0, 1, 28502933687, 12890327991, 125405, 302583598, 438, 678, 43595, 26306, 0, 7, 1
0, 1, 34626900066, 15283182871, 198873, 326722000, 3118, 703, 1036345, 33132, 0, 8, 1
0, 1, 41120820433, 17524673425, 190428, 395502470, 333889, 2737, 76272, 174549, 0, 9, 1
0, 1, 42896854049, 18997874580, 242012, 327107977, 4688, 1873, 114232, 24141, 0, 10, 1
0, 1, 45467533260, 20420451257, 255257, 372068541, 1619, 1264, 121425, 27568, 0, 11, 1
0, 1, 50962508206, 22737571025, 312474, 419498631, 3543, 2460, 2929978, 186105, 0, 12, 1
0, 1, 56702433113, 24502210362, 326659, 411403807, 142434, 610579, 136974, 19925, 0, 13, 1
0, 1, 60144396920, 27342401694, 394240, 436233636, 3385, 1830, 182302, 23347, 0, 14, 1
0, 1, 65621991855, 28830606704, 384435, 454997222, 414498, 159363, 184955, 23279, 0, 15, 1
0, 1, 70073607376, 31137479919, 479073, 493008416, 4683, 4070, 236658, 18612, 0, 16, 1
0, 1, 80961280150, 34447962746, 470246, 471530371, 3236, 2812, 1311854, 390437, 0, 17, 1
0, 1, 76891693799, 34305462859, 496279, 411057392, 2607124, 1519138, 248781, 638068, 0, 18, 1
0, 1, 80710257710, 36720048314, 545431, 518630553, 5123, 5252, 270256, 20870, 0, 19, 1
0, 1, 91188389521, 40133628674, 601161, 510886613, 327080, 161542, 1895570, 164894, 0, 20, 1
0, 1, 91400813836, 42078643039, 607277, 566459327, 151961, 6860, 301852, 20816, 0, 21, 1
0, 1, 94510902865, 43437090892, 654217, 601430503, 7471, 13783, 333909, 17382, 0, 22, 1
0, 1, 102032468035, 45889260912, 672693, 609581560, 150333, 152732, 315756, 268662, 0, 23, 1
