1,  0,  767878,  463,  55,  40,  44949250,  2091989475,  9534592422,  14,  294,  1363600744,  0,  51.615,  37.665,  45.94,  48.11,  4,  0
0,  1,  228398,  14011802,  1208423,  2965417,  16661463,  786299696,  25264386602,  3158894,  6713235,  503838151,  0,  10644.2,  46.645,  38.605,  49.29,  10,  0
0,  1,  43655,  8788362,  589604,  1927304,  8643220,  510784390,  10618945654,  1928413,  4235899,  338513926,  0,  2419.98,  37.91,  3969.84,  39.515,  4,  0
0,  1,  45471,  3980879,  408586,  278343,  3983048,  671570682,  5322256596,  800801,  2461619,  440254467,  0,  45.69,  3598.76,  38.05,  39.64,  2,  0
1,  0,  2184843,  792,  100,  100,  72744784,  2915866650,  19079712563,  36,  430,  1902091794,  0,  52.32,  38.175,  46.125,  47.83,  8,  0
1,  0,  2937147,  853,  50,  125,  81685050,  3214568820,  23862888009,  31,  575,  2087649972,  0,  53.7,  39.315,  46.95,  48.465,  10,  0
0,  1,  154110,  12619628,  944896,  2711107,  14490447,  711600753,  21055147520,  2861126,  6117246,  456670712,  0,  9615.47,  46.775,  46.91,  49.635,  8,  0
1,  0,  9211,  380,  20,  15,  22734011,  1699245713,  5182168841,  7,  207,  1116391693,  0,  60.255,  38.53,  48.67,  48.36,  2,  0
1,  0,  1533722,  596,  70,  95,  57553319,  2464342435,  14305127279,  16,  371,  1612333333,  0,  54.345,  38.64,  47.535,  48.515,  6,  0
0,  1,  115392,  11459967,  1090684,  2351926,  13102012,  669066680,  15793592972,  2344826,  5594805,  426616174,  0,  8414.03,  49.42,  41.935,  50.845,  6,  0
