LOC, RR retired_uops, loads_retired_uops, LLC_misses, LLC_references, local_accesses, remote_accesses, inter_socket1, inter_socket2, context_switches, number_of_threads, result
1, 0, 1962590218, 359829877, 255, 33038042, 89, 0, 12, 20, 0, 2, 0
1, 0, 2997952802, 730652881, 242, 72734118, 192, 8, 0, 321, 0, 3, 0
1, 0, 2674876291, 645333386, 679, 74764423, 322, 107, 35, 475, 0, 4, 0
1, 0, 3743127152, 959234273, 827, 97552778, 35092, 53, 150, 602, 0, 5, 0
1, 0, 5442891564, 1271410720, 1031, 141805215, 461, 44, 162, 198, 0, 6, 0
1, 0, 6932950534, 1656309099, 917, 185585272, 581, 230, 206, 1194, 0, 7, 0
1, 0, 7573359918, 1744526571, 1398, 203423031, 622, 209, 46400, 328, 0, 8, 0
1, 0, 6895337528, 1640807471, 16334, 170791836, 1298, 409, 321889, 681, 0, 9, 0
1, 0, 6679848878, 1622658010, 4251, 192647852, 477, 422, 228, 612, 0, 10, 0
1, 0, 7027350001, 1818334966, 3224, 199323562, 1244, 426, 50429, 5068, 0, 11, 0
1, 0, 7989435227, 1920726794, 4417, 204920006, 576, 760, 398855, 2059, 0, 12, 0
1, 0, 7590302814, 1847842020, 4182, 195988359, 683, 481, 126211, 574785, 0, 13, 0
1, 0, 7500120651, 1851445815, 14716834, 193003042, 28084, 2451, 69182, 3435276, 0, 14, 0
1, 0, 7165583870, 1733774067, 36269132, 196719612, 9820, 14118, 193799, 11935104, 0, 15, 0
1, 0, 6851453338, 1671242120, 41590492, 190237834, 12178, 21591, 201699, 13046227, 0, 16, 0
1, 0, 6639812036, 1646001433, 44639151, 178889596, 15489, 19740, 291220, 14860181, 0, 17, 0
1, 0, 6587403735, 1592616028, 50703469, 179734982, 23837, 19927, 379982, 15903553, 0, 18, 0
1, 0, 6713536155, 1640225078, 49813738, 186410156, 20035, 24282, 330683, 16858828, 0, 19, 0
1, 0, 6319159078, 1445692168, 50973704, 170332135, 80515, 40788, 535473, 15784700, 0, 20, 0
1, 0, 7194372550, 1784477374, 50556052, 201756280, 21959, 25904, 370887, 18122638, 0, 21, 0
1, 0, 6965899845, 1611606763, 62682594, 186204590, 198220, 130657, 467717, 17991766, 0, 22, 0
1, 0, 7878156125, 1934732729, 70794726, 226214358, 159806, 207271, 896537, 20565763, 0, 23, 0
0, 1, 2254613269, 426209821, 215, 36086430, 73, 61, 234, 20, 0, 2, 0
0, 1, 1226102726, 291427057, 15317095, 27114459, 2146, 878, 827, 5672150, 0, 3, 0
0, 1, 1086579104, 248494714, 18957453, 26608511, 7402, 88067, 39844, 4483971, 0, 4, 0
0, 1, 1353653621, 315048101, 21318859, 31652375, 8437, 231193, 322281, 6540043, 0, 5, 0
0, 1, 1517962473, 333122907, 27098150, 35604889, 40982, 182981, 524210, 5896033, 0, 6, 0
0, 1, 2241378202, 537364472, 32487108, 58112448, 22422, 319324, 531781, 12120957, 0, 7, 0
0, 1, 1981436760, 475697774, 36314958, 51298162, 19705, 472449, 729698, 10917331, 0, 8, 0
0, 1, 2121489139, 503514468, 39462171, 53454924, 185706, 556558, 745838, 9167935, 0, 9, 0
0, 1, 2169010522, 481150287, 35737912, 51039862, 202811, 327528, 901105, 8058002, 0, 10, 0
0, 1, 2248021543, 526764050, 35957271, 54145721, 73277, 310722, 901558, 10257422, 0, 11, 0
0, 1, 2367562174, 502946730, 42380160, 58167958, 732990, 508940, 497598, 5435002, 0, 12, 0
0, 1, 2409870074, 567578264, 40250574, 64453104, 153050, 521154, 1007320, 11349378, 0, 13, 0
0, 1, 3040932804, 681725855, 53367796, 76259601, 143857, 338183, 566639, 13542226, 0, 14, 0
0, 1, 3696922762, 839719737, 60131877, 94372027, 133706, 282309, 729055, 15130429, 0, 15, 0
0, 1, 3729394121, 862997565, 64801830, 92308656, 34753, 757468, 1129398, 15555753, 0, 16, 0
0, 1, 3705208116, 884249409, 62681983, 96980049, 45728, 269602, 1287516, 17060536, 0, 17, 0
0, 1, 4070867316, 975923690, 67910567, 101316589, 62921, 358788, 1292349, 18862538, 0, 18, 0
0, 1, 4104898381, 957217024, 66693990, 105419329, 39054, 328070, 1471310, 17991517, 0, 19, 0
0, 1, 3692623439, 871291686, 59781415, 93061990, 39298, 502850, 1505025, 16426361, 0, 20, 0
0, 1, 3694736864, 832029254, 58189242, 90166125, 137111, 504985, 1166712, 14303584, 0, 21, 0
0, 1, 4827053894, 1080616937, 79590170, 117114471, 52712, 320586, 1059120, 19648351, 0, 22, 0
0, 1, 5259860602, 1208998300, 73482527, 125593104, 116881, 634750, 1693182, 21455158, 0, 23, 0
