>>>		1972026455		846946976		66078563		189895604
>>>		1970240201		861600993		67112522		192985185
>>>		1970240201		861600993		67112522		192985185
>>>		1970625526		876104409		68189993		195949639
>>>		1970625526		876104409		68189993		195949639
>>>		1970987929		891422965		69331793		199139476
>>>		1970987929		891422965		69331793		199139476
>>>		1971164250		906463449		70436704		202463248
>>>		1971164250		906463449		70436704		202463248
>>>		1971490527		921638025		71487714		205812335
>>>		1971490527		921638025		71487714		205812335
>>>		1971837868		936759058		72620849		209127344
>>>		1971837868		936759058		72620849		209127344
>>>		1972169380		951606956		73722458		212351856
>>>		1972169380		951606956		73722458		212351856
>>>		1972504641		966409559		74839064		215657653
>>>		1972504641		966409559		74839064		215657653
>>>		1972848416		981791039		75964741		218984595
>>>		1972848416		981791039		75964741		218984595
>>>		1973196429		997037526		77066169		222295682
>>>		1973196429		997037526		77066169		222295682
>>>		1973537682		1012255004		78128652		225594033
>>>		1973537682		1012255004		78128652		225594033
>>>		1973877180		1027644211		79224704		228977371
>>>		1973877180		1027644211		79224704		228977371
>>>		1974216689		1042866086		80328012		232317105
>>>		1974216689		1042866086		80328012		232317105
>>>		1974544063		1057122907		81474334		235498579
>>>		1974544063		1057122907		81474334		235498579
>>>		1974896018		1071502914		82636674		238567461
>>>		1974896018		1071502914		82636674		238567461
>>>		1975248065		1086698807		83704518		241895574
>>>		1975248065		1086698807		83704518		241895574
>>>		1975604507		1101477413		84760500		245203684
>>>		1975604507		1101477413		84760500		245203684
>>>		1975995404		1116263931		85869526		248308179
>>>		1975995404		1116263931		85869526		248308179
>>>		1976376612		1131067603		86987826		251370773
>>>		1976376612		1131067603		86987826		251370773
>>>		1976743851		1146310564		88094821		254606909
>>>		1976743851		1146310564		88094821		254606909
>>>		1977128543		1160438602		89206784		257641723
>>>		1977128543		1160438602		89206784		257641723
>>>		1977566122		1174440153		90359534		260530008
>>>		1977566122		1174440153		90359534		260530008
>>>		1977934629		1188948481		91504650		263587505
>>>		1977934629		1188948481		91504650		263587505
>>>		1977456227		1204742974		92632440		266994049
>>>		1977456227		1204742974		92632440		266994049
>>>		1977852393		1219249084		93804320		270088420
>>>		1977852393		1219249084		93804320		270088420
>>>		1978281561		1233683515		95064690		273102375
>>>		1978281561		1233683515		95064690		273102375
