4.978310608826e-01,5.021689391174e-01
4.979188106715e-01,5.020811893285e-01
4.979473277642e-01,5.020526722358e-01
4.979136375043e-01,5.020863624957e-01
4.979307736226e-01,5.020692263774e-01
4.979043258043e-01,5.020956741957e-01
4.979103396103e-01,5.020896603897e-01
4.979244364915e-01,5.020755635085e-01
4.979329722193e-01,5.020670277807e-01
4.979131201876e-01,5.020868798124e-01
4.979437065453e-01,5.020562934547e-01
4.979784314564e-01,5.020215685436e-01
4.979556695013e-01,5.020443304987e-01
4.979476510873e-01,5.020523489127e-01
4.979714476738e-01,5.020285523262e-01
4.978418598547e-01,5.021581401453e-01
4.979705423688e-01,5.020294576312e-01
4.979301269765e-01,5.020698730235e-01
4.979342655115e-01,5.020657344885e-01
4.979422839237e-01,5.020577160763e-01
4.978800119278e-01,5.021199880722e-01
4.979434478869e-01,5.020565521131e-01
4.979634939224e-01,5.020365060776e-01
4.979431892284e-01,5.020568107716e-01
4.979301269765e-01,5.020698730235e-01
4.979471984349e-01,5.020528015651e-01
4.979174527151e-01,5.020825472849e-01
4.979477804166e-01,5.020522195834e-01
4.979208152740e-01,5.020791847260e-01
4.979399559975e-01,5.020600440025e-01
4.979206212802e-01,5.020793787198e-01
4.979446765147e-01,5.020553234853e-01
4.979446765147e-01,5.020553234853e-01
4.979290276782e-01,5.020709723218e-01
4.979252771313e-01,5.020747228687e-01
4.978765200421e-01,5.021234799579e-01
4.979342008469e-01,5.020657991531e-01
4.979743575832e-01,5.020256424168e-01
