1 0 4110324479 33557 10 3308 495 934 36 41 0 2 30239 0.00301386 0
1 0 3952507894 36945 -567 3016 335 1831 4 78 0 2 34496 -0.231523 0
1 0 3920001760 30193 83 2181 529 750 23 96 0 2 27929 0.0366608 0
1 0 4443864852 8542 55 -23620 603 0 0 55 0 2 32107 -0.00233397 0
1 0 4583902572 26363 42 2630 5 1033 20 28 0 2 23691 0.0157186 0
1 0 4062870065 26999 92 2380 1067 274 156 130 0 2 24527 0.0372168 0
1 0 4075055168 30622 69 1773 1555 105 12 109 0 2 28780 0.0374593 0
1 0 3831326206 25185 133 1514 450 1330 11 78 0 2 23538 0.0807529 0
1 0 3880060037 26367 69 1213 -28 780 219 96 0 2 25085 0.0538222 0
1 0 4217213957 6044 -655 1371 19 356 20 279 0 2 5328 -0.914804 0
1 0 4065584970 33969 69 1227 1505 314 4 23 0 2 32673 0.0532407 0

1 0 3115733658 83113914 5406 2919673 -8730 22488 1537 5111 0 11 80188835 0.00184816 0
1 0 3143384757 86747359 7149 2898680 6405 8280 3297 3653 0 11 83841530 0.00246023 0
1 0 3079897161 83258057 12193 2968516 5381 7728 3614 6825 0 11 80277348 0.00409064 0
1 0 3165646342 84769143 3375 2892551 2400 8534 3924 1932 0 11 81873217 0.00116543 0
1 0 3231383486 84598458 4348 3052085 6694 6715 -70261 5268 0 11 81542025 0.00142257 0
1 0 3185632529 84463188 5882 3072848 5416 4685 75824 3133 0 11 81384458 0.00191053 0
1 0 3198607653 85483941 5594 3061106 3153 19661 -70642 2578 0 11 82417241 0.00182411 0
1 0 3223270159 86716424 3656 2998163 8033 6689 1103 10116 0 11 83714605 0.00121793 0
1 0 3335317302 85458377 9838 3004837 6401 134512 2297 3441 0 11 82443702 0.00326337 0

1 0 3183317171 87313046 3401 3215537 9214 2975 6158 4947 0 12 84094108 0.00105656 0
1 0 3226344141 87243626 5143 3273789 28651 9868 3729 3001 0 12 83964694 0.0015685 0
1 0 3261671785 85945386 8478 3374590 11588 2865 5778 5040 0 12 82562318 0.00250601 0
1 0 3303985393 86207843 3225 3335686 5709 14946 2060 5934 0 12 82868932 0.000965884 0
1 0 3306741824 90309114 6165 3285941 3611 6592 3690 5575 0 12 87017008 0.00187266 0
1 0 3311986173 89028966 -403865 3300565 3109 12276 2651 3528 0 12 86132266 -0.139422 0
1 0 3391983300 90521807 5921 3305556 -4141 11560 4477 5663 0 12 87210330 0.00178802 0
1 0 3251297710 87378743 7951 3334384 11656 11893 5768 2601 0 12 84036408 0.00237888 0
1 0 3190340973 80597653 5501 3236358 4551 10444 1479 7742 0 12 77355794 0.00169687 0
1 0 3192856542 86068665 4562 3207536 -4504 -94370 2588 3154 0 12 82856567 0.00142026 0
1 0 3251486897 89923319 6418 3284008 14441 5177 9022 2658 0 12 86632893 0.00195051 0
1 0 3282629974 85041223 4651 3368381 9603 9208 4701 2401 0 12 81668191 0.00137888 0
